#Don't put as such on the web, use as private communication only!!
#authors of compilatio
# G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-AprilA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#      (Huhtinen, Summers)
#E_p [MeV] D/(95MeVmb)
4.335E+03 5.7368E-01
4.345E+03 5.7368E-01
4.355E+03 5.7368E-01
4.365E+03 5.7263E-01
4.375E+03 5.7263E-01
4.385E+03 5.7263E-01
4.395E+03 5.7263E-01
4.405E+03 5.7263E-01
4.415E+03 5.7263E-01
4.425E+03 5.7263E-01
4.435E+03 5.7158E-01
4.445E+03 5.7158E-01
4.455E+03 5.7158E-01
4.465E+03 5.7158E-01
4.475E+03 5.7158E-01
4.485E+03 5.7158E-01
4.495E+03 5.7158E-01
4.505E+03 5.7053E-01
4.515E+03 5.7053E-01
4.525E+03 5.7053E-01
4.535E+03 5.7053E-01
4.545E+03 5.7053E-01
4.555E+03 5.7053E-01
4.565E+03 5.7053E-01
4.575E+03 5.6947E-01
4.585E+03 5.6947E-01
4.595E+03 5.6947E-01
4.605E+03 5.6947E-01
4.615E+03 5.6947E-01
4.625E+03 5.6947E-01
4.635E+03 5.6947E-01
4.645E+03 5.6842E-01
4.655E+03 5.6842E-01
4.665E+03 5.6842E-01
4.675E+03 5.6842E-01
4.685E+03 5.6842E-01
4.695E+03 5.6842E-01
4.705E+03 5.6842E-01
4.715E+03 5.6737E-01
4.725E+03 5.6737E-01
4.735E+03 5.6737E-01
4.745E+03 5.6737E-01
4.755E+03 5.6737E-01
4.765E+03 5.6737E-01
4.775E+03 5.6737E-01
4.785E+03 5.6737E-01
4.795E+03 5.6632E-01
4.805E+03 5.6632E-01
4.815E+03 5.6632E-01
4.825E+03 5.6632E-01
4.835E+03 5.6632E-01
4.845E+03 5.6632E-01
4.855E+03 5.6632E-01
4.865E+03 5.6526E-01
4.875E+03 5.6526E-01
4.885E+03 5.6526E-01
4.895E+03 5.6526E-01
4.905E+03 5.6526E-01
4.915E+03 5.6526E-01
4.925E+03 5.6526E-01
4.935E+03 5.6421E-01
4.945E+03 5.6421E-01
4.955E+03 5.6421E-01
4.965E+03 5.6421E-01
4.975E+03 5.6421E-01
4.985E+03 5.6421E-01
4.995E+03 5.6421E-01
5.005E+03 5.6316E-01
5.015E+03 5.6316E-01
5.025E+03 5.6316E-01
5.035E+03 5.6316E-01
5.045E+03 5.6316E-01
5.055E+03 5.6316E-01
5.065E+03 5.6316E-01
5.075E+03 5.6211E-01
5.085E+03 5.6211E-01
5.095E+03 5.6211E-01
5.105E+03 5.6211E-01
5.115E+03 5.6211E-01
5.125E+03 5.6211E-01
5.135E+03 5.6211E-01
5.145E+03 5.6105E-01
5.155E+03 5.6105E-01
5.165E+03 5.6105E-01
5.175E+03 5.6105E-01
5.185E+03 5.6105E-01
5.195E+03 5.6105E-01
5.205E+03 5.6105E-01
5.215E+03 5.6105E-01
5.225E+03 5.6000E-01
5.235E+03 5.6000E-01
5.245E+03 5.6000E-01
5.255E+03 5.6000E-01
5.265E+03 5.6000E-01
5.275E+03 5.6000E-01
5.285E+03 5.6000E-01
5.295E+03 5.5895E-01
5.305E+03 5.5895E-01
5.315E+03 5.5895E-01
5.325E+03 5.5895E-01
5.335E+03 5.5895E-01
5.345E+03 5.5895E-01
