#Don't put as such on the web! this is private communication only!!
#source of compilatio
#G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-ApriA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#
#Ekin [MeV]D/95MeVmb
 6.255E+03 4.168E-01
 6.265E+03 4.168E-01
 6.275E+03 4.168E-01
 6.285E+03 4.168E-01
 6.295E+03 4.168E-01
 6.305E+03 4.168E-01
 6.315E+03 4.168E-01
 6.325E+03 4.158E-01
 6.335E+03 4.158E-01
 6.345E+03 4.158E-01
 6.355E+03 4.158E-01
 6.365E+03 4.158E-01
 6.375E+03 4.158E-01
 6.385E+03 4.158E-01
 6.395E+03 4.147E-01
 6.405E+03 4.147E-01
 6.415E+03 4.147E-01
 6.425E+03 4.147E-01
 6.435E+03 4.147E-01
 6.445E+03 4.147E-01
 6.455E+03 4.147E-01
 6.465E+03 4.137E-01
 6.475E+03 4.137E-01
 6.485E+03 4.137E-01
 6.495E+03 4.137E-01
 6.505E+03 4.137E-01
 6.515E+03 4.137E-01
 6.525E+03 4.137E-01
 6.535E+03 4.137E-01
 6.545E+03 4.126E-01
 6.555E+03 4.126E-01
 6.565E+03 4.126E-01
 6.575E+03 4.126E-01
 6.585E+03 4.126E-01
 6.595E+03 4.126E-01
 6.605E+03 4.126E-01
 6.615E+03 4.116E-01
 6.625E+03 4.116E-01
 6.635E+03 4.116E-01
 6.645E+03 4.116E-01
 6.655E+03 4.116E-01
 6.665E+03 4.116E-01
 6.675E+03 4.116E-01
 6.685E+03 4.105E-01
 6.695E+03 4.105E-01
 6.705E+03 4.105E-01
 6.715E+03 4.105E-01
 6.725E+03 4.105E-01
 6.735E+03 4.105E-01
 6.745E+03 4.105E-01
 6.755E+03 4.105E-01
 6.765E+03 4.095E-01
 6.775E+03 4.095E-01
 6.785E+03 4.095E-01
 6.795E+03 4.095E-01
 6.805E+03 4.095E-01
 6.815E+03 4.095E-01
 6.825E+03 4.095E-01
