# Optical properties of quartz Spectrasil2000
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex
            1.53821                 10609.9           1.45321
            1.53631                 10540.2           1.45319
            1.53441                   11609           1.45318
            1.53251                 10581.9           1.45316
            1.53062                 11879.4           1.45314
            1.52873                 11446.6           1.45313
            1.52685                 11661.7           1.45311
            1.52497                 10679.7           1.45309
             1.5231                   10753           1.45308
            1.52123                   12540           1.45306
            1.51936                 11339.5           1.45304
             1.5175                 11149.1           1.45303
            1.51565                 13766.6           1.45301
             1.5138                 14083.7           1.45299
            1.51195                 12057.5           1.45298
            1.51011                 9940.26           1.45296
            1.50827                 13538.5           1.45294
            1.50644                 13777.4           1.45293
            1.50461                 13045.7           1.45291
            1.50279                   16695           1.45289
            1.50097                 14027.5           1.45288
            1.49915                 14509.7           1.45286
            1.49734                 15573.7           1.45285
            1.49554                 18332.7           1.45283
            1.49373                 16113.4           1.45281
            1.49194                 17355.2            1.4528
            1.49014                 22495.4           1.45278
            1.48836                 17337.1           1.45276
            1.48657                 16546.3           1.45275
            1.48479                 19030.4           1.45273
            1.48301                   16987           1.45272
            1.48124                 13242.3            1.4527
            1.47947                 14086.8           1.45268
            1.47771                 14707.3           1.45267
            1.47595                 13591.2           1.45265
             1.4742                 13847.8           1.45264
            1.47245                 18862.8           1.45262
             1.4707                 18643.6           1.45261
            1.46896                 22270.5           1.45259
            1.46722                 18774.5           1.45257
            1.46548                 23287.1           1.45256
            1.46375                 21680.1           1.45254
            1.46203                 22465.1           1.45253
            1.46031                 19084.6           1.45251
            1.45859                 19319.9            1.4525
            1.45687                 25968.8           1.45248
            1.45516                 21299.3           1.45246
            1.45346                 20637.2           1.45245
            1.45176                 31844.8           1.45243
            1.45006                 33594.5           1.45242
            1.44836                 23981.6            1.4524
            1.44667                 16845.3           1.45239
            1.44499                 30650.1           1.45237
            1.44331                 31902.9           1.45236
            1.44163                 28235.8           1.45234
            1.43995                 40956.2           1.45233
            1.43828                 12763.5           1.45231
            1.43662                 17036.4            1.4523
            1.43495                 13504.1           1.45228
            1.43329                 13530.3           1.45227
            1.43164                 13548.8           1.45225
            1.42999                 14587.8           1.45223
            1.42834                 19753.6           1.45222
             1.4267                   15859           1.45221
            1.42506                 14080.8           1.45219
            1.42342                 15929.2           1.45218
            1.42179                 16864.9           1.45216
            1.42016                 18049.6           1.45215
            1.41854                 23447.4           1.45213
            1.41691                 30339.7           1.45212
             1.4153                 15494.6            1.4521
            1.41368                 14468.3           1.45209
            1.41207                 21826.3           1.45207
